County,Fips,Geometry,Latitude,Longitude,Number of Records,Population,State,Tract
003,42003281500,POINT,40.440539,-80.054555,1,1462,42,281500
003,42003290100,POINT,40.397685,-79.991523,1,2120,42,290100
003,42003290200,POINT,40.398648,-79.985026,1,3944,42,290200
003,42003290400,POINT,40.386922,-79.982359,1,4049,42,290400
003,42003300100,POINT,40.413291,-79.99303,1,3747,42,300100
003,42003310200,POINT,40.370908,-79.913526,1,3227,42,310200
003,42003310300,POINT,40.386959,-79.921045,1,990,42,310300
003,42003320400,POINT,40.386342,-79.993067,1,1994,42,320400
003,42003320600,POINT,40.394507,-80.006569,1,2261,42,320600
003,42003320700,POINT,40.382994,-80.00057,1,1650,42,320700
003,42003401100,POINT,40.637619,-79.714227,1,4447,42,401100
003,42003401200,POINT,40.615045,-79.725809,1,3272,42,401200
003,42003401300,POINT,40.621939,-79.733177,1,2742,42,401300
003,42003402000,POINT,40.60841,-79.741426,1,3260,42,402000
003,42003403500,POINT,40.603535,-79.755922,1,4530,42,403500
003,42003404000,POINT,40.582388,-79.779912,1,1500,42,404000
003,42003405000,POINT,40.607483,-79.795217,1,1157,42,405000
003,42003406000,POINT,40.649581,-79.763166,1,2376,42,406000
003,42003407001,POINT,40.641737,-79.86713,1,5174,42,407001
003,42003407002,POINT,40.611445,-79.880958,1,6597,42,407002
003,42003408001,POINT,40.649851,-79.952594,1,4769,42,408001
003,42003408002,POINT,40.625215,-79.942004,1,6331,42,408002
003,42003409000,POINT,40.641645,-80.037764,1,11497,42,409000
003,42003410000,POINT,40.636889,-80.082441,1,1171,42,410000
003,42003411000,POINT,40.642375,-80.100651,1,6915,42,411000
003,42003412001,POINT,40.598708,-80.089678,1,8605,42,412001
003,42003412002,POINT,40.569495,-80.080987,1,4865,42,412002
003,42003413100,POINT,40.599329,-80.0385,1,6609,42,413100
003,42003413201,POINT,40.574191,-80.041967,1,3737,42,413201
003,42003413202,POINT,40.578117,-80.057385,1,2866,42,413202
003,42003413300,POINT,40.560036,-80.04535,1,4742,42,413300
003,42003413400,POINT,40.560121,-80.001753,1,4339,42,413400
003,42003413500,POINT,40.576726,-80.008736,1,6164,42,413500
003,42003414101,POINT,40.602377,-79.932805,1,5358,42,414101
003,42003414102,POINT,40.591186,-79.965519,1,7040,42,414102
003,42003414200,POINT,40.564743,-79.954811,1,5965,42,414200
003,42003415001,POINT,40.577955,-79.860598,1,4708,42,415001
003,42003415002,POINT,40.550928,-79.908202,1,2545,42,415002
003,42003416000,POINT,40.553158,-79.798274,1,1636,42,416000
003,42003417100,POINT,40.543857,-79.783549,1,2145,42,417100
003,42003417200,POINT,40.539766,-79.781436,1,1260,42,417200
003,42003418000,POINT,40.544053,-79.80063,1,1746,42,418000
003,42003419000,POINT,40.544942,-79.833303,1,2921,42,419000
003,42003420000,POINT,40.4937,-79.861428,1,1432,42,420000
003,42003421100,POINT,40.505186,-79.867614,1,4103,42,421100
003,42003421200,POINT,40.511492,-79.922107,1,4304,42,421200
003,42003422000,POINT,40.522159,-79.888467,1,5388,42,422000
003,42003423000,POINT,40.493415,-79.903303,1,2801,42,423000
003,42003424000,POINT,40.495418,-79.927195,1,3446,42,424000
003,42003425000,POINT,40.500288,-79.948844,1,3451,42,425000
003,42003426300,POINT,40.544768,-79.97586,1,6037,42,426300
003,42003426400,POINT,40.519699,-79.959233,1,4581,42,426400
003,42003426700,POINT,40.515667,-79.942668,1,2361,42,426700
003,42003426800,POINT,40.542292,-79.948635,1,5369,42,426800
003,42003427000,POINT,40.483468,-79.974059,1,3744,42,427000
003,42003427100,POINT,40.517709,-79.979203,1,5510,42,427100
003,42003427200,POINT,40.494462,-79.964426,1,4899,42,427200
003,42003428100,POINT,40.473189,-79.982214,1,1242,42,428100
003,42003428200,POINT,40.488093,-79.994376,1,2091,42,428200
003,42003429100,POINT,40.507362,-80.010578,1,2510,42,429100
003,42003429201,POINT,40.545051,-80.001756,1,4310,42,429201
